level;char;on;kun;meaning
N3;怒;ド;いか.る,おこ.る;se mettre en colère, emportement, fureur
N3;怖;フ;こわ.い,お.じる,おそ. れる;avoir peur, redouter, craindre, effrayant
N4;思;シ;おも.う;penser
N4;急;キュウ;いそ.ぐ;se dépêcher, urgent, soudain
N3;性;セイ;さが;genre, nature, sexe
N3;恐;キョウ;おそ.れる,こわ.い;peur, crainte, inquiétude
N3;恥;チ;は.ずかしい;honte, gêne, déshonneur
N3;息;ソク;いき;souffle, respiration
N4;悪;アク;わる.い;mauvais, vice, mal
N3;悲;ヒ;かな.しい,かな.しむ;mélancolie, peine, se lamenter
N3;情;ジョウ,セイ;なさ.け;tendresse, compassion, émotion, circonstances
N3;想;ソウ;おも.う;pensée, idée, conception
N4;意;イ -;;volontée, idée
N3;感;カン -;;émotion, sentiment
N3;慣;カン;な.れる;s'habituer à, coutume
N3;成;セイ;な.る;se changer en, devenir, croissance
N3;戦;セン;たたか .う;guerre, combat, combattre
N3;戻;レイ;もど.る;revenir, rendre, restituer
N4;所;ショ;ところ;endroit, lieu, place
N5;手;シュ;て;main
N3;才;サイ -;;talent, génie, don
N3;打;ダ;う.つ;frapper, taper, battre
N3;払;フツ;はら.う;payer, nettoyer
N3;投;トウ;な.げる;jeter, lancer, investir
N3;折;セツ;お.る;plier, courber, casser, rompre
N3;抜;バツ;ぬ.く;extraire, enlever, laisser de côté, omettre
N3;抱;ホウ;だ.く,いだ.く,かか.え る;étreindre, serrer dans ses bras
N3;押;オウ;お.す,おさ.える;appuyer, pousser, arrêter, maintenir, retenir
N3;招;ショウ;まね.く;inviter
N4;持;ジ;も.つ;tenir, avoir
N3;指;シ;ゆび,さ.す;doigt, désigner, indiquer
N3;捕;ホ;つか.まる,と.らえる,とら.える;attraper, capturer
N3;掛;カイ,ケイ;か.ける,か.かる;accrocher, suspendre, dépendre, arriver à, taxe
N3;探;タン;さが.す,さぐ.る;chercher, enquête
N3;支;シ;ささ.える;soutenir, soutien, support, succursale
N3;放;ホウ;はな.す,はな.つ;libérer, relâcher, émettre
N3;政;セイ,ショウ;まつりごと,まん;politique, gouvernement, administration
N3;敗;ハイ;やぶ.れる;défaire, échec, échouer
N4;教;キョウ;おし.える;enseigner, religion, foi
N3;散;サン;ち.らかる,ち.らかす;éparpiller, mettre en désordre, s'éparpiller
N3;数;スウ;かず,かぞ.える;chiffre, compter
N4;文;ブン,モン;ふみ,あや;lettre, écriture, littérature, phrase
N4;料;リョウ -;;matériau, prix, frais
N3;断;ダン;ことわ .る;refuser, décliner une offre, décision, jugement
N4;方;ホウ;かた;personne, direction, manière de
N4;旅;リョ;たび;voyage
N4;族;ゾク;つぎ;famille, clan, bande
N5;日;ニチ,ジツ;ひ,か;jour, soleil, Japon, compteur pour les jours
N4;早;ソウ;はや.い;rapide, tôt
N4;明;メイ;あか.るい;clair, brillant
N3;易;エキ,イ;やさ.しい;simple, divination, commerce
N3;昔;セキ;むかし;autrefois, il était une fois
N4;映;エイ;うつ.す,は.える;projection, se refléter, réflexion
N4;春;シュン;はる;printemps
N3;昨;サク -;;hier, précédent
N4;昼;チュウ;ひる;journée, midi
N5;時;ジ;とき;temps, heure
N3;晩;バン -;;soir, crépuscule
N3;景;ケイ -;;paysage, vue, scène
N3;晴;セイ;は.れる;s'éclaircir (temps)
N4;暑;ショ;あつ.い;chaud (météorologique)
N4;暗;アン;くれ.る;obscurité, s'assombrir
N3;暮;ボ;く.れる;fin, se terminer, s'achever
N4;曜;ヨウ -;;jour de la semaine
N3;曲;キョク;ま.がる;morceau de musique, courber
N3;更;コウ;さら,ふ.かす;veiller tard la nuit, bien sûr
N5;書;ショ;か.く;écrire
N3;最;サイ;もっと .も;le plus, préfixe pour les superlatifs
N5;月;ゲツ,ガツ;つき;lune, mois
N4;有;ユウ,ウ;あ.る;posséder, avoir
N4;服;フク -;;vêtement, avaler (un médicament)
N3;望;ボウ,モウ;のぞ.む;espérer, aspirer à, désir, espoir
N4;朝;チョウ;あさ;matin
N3;期;キ,ゴ -;;période, terme, temps
N5;木;モク;き;arbre, bois
N3;未;ミ,ビ;ま.だ;pas encore
N5;本;ホン;もと;livre, essentiel, réalité, compteur pour les objets allongés
N4;村;ソン;むら;village
N3;束;ソク;たば;faisceau, liasse, rame (de papier), bouquet
N5;来;ライ;く.る;venir, suivant
N3;杯;ハイ;さかずき;coupe pour le saké, verre, toast, compteur pour les verres
N5;東;トウ;ひがし;Est
N4;林;リン;はやし;bois, bosquet
N3;果;カ;は.て;fruit, résultat, achever
N5;校;コウ;めん;école
N3;格;カク,コウ -;;rang, statut, clause
N4;森;シン;もり;forêt, bois
N4;業;ギョウ,ゴウ;わざ;activité, profession
N4;楽;ガク,ラク,ゴウ;たの.しい,たの.しむ;musique, agréable, confortable
N3;構;コウ;かま.う;s'inquiéter de, préoccupé, construction
N3;様;ヨウ;さま;apparence, manière, suffixe de nom ( -sama)
N3;権;ケン,ゴン;おもり,かり,はか.る;pouvoir, autorité
N3;横;オウ;よこ;à côté de, latéral
N3;機;キ;はた;machine, opportunité
N3;欠;ケツ,ケン;か.く;manquer de, lacune
N3;次;ジ;つぎ;suivant, successif, ordre
N3;欲;ヨク;ほ.しい;désir, convoitise, désirer, vouloir
N4;歌;カ;うた,うた.う;chant, chanter
N4;止;シ;と.まる,と.める,や.む;stopper, arrêter, s'arrêter
N4;正;セイ,ショウ;ただ.しい;juste, correct, exact, 10^40
N4;歩;ホ,ブ;ある.く;marcher
N3;歯;シ;は;dent
N3;歳;サイ,セイ;とし,とせ,よわい;âge, compteur d'années
N3;残;ザン,サン;のこ.る;rester, solde (sur un compte bancaire)
N3;段;ダン,タン -;;étape, rang, marche
N3;殺;サツ;ころ.す;tuer, massacrer
N5;母;ボ;はは;mère, maman
N5;毎;マイ;ごと;chaque, tous les
N5;気;キ;いき;esprit, atmosphère, humeur
N5;水;スイ;みず;eau
N3;求;キュウ;もと.める;demander, vouloir, désirer
N4;池;チ;いけ;étang, mare, réservoir
N3;決;ケツ;き.める;décider, fixer
N3;治;ジ,チ;おさ.める;gouverner, diriger, soigner, maîtriser
N3;法;ホウ;のり;loi, méthode, principe
N4;注;チュウ;そそ.ぐ;verser, note, commentaire
N3;泳;エイ;およ.ぐ;nager
N4;洋;ヨウ -;;océan, style occidental
N4;洗;セン;あら.う;laver, se laver
N3;活;カツ;い.きる,い.かす;vie, vitalité, vigueur, activité
N3;流;リュウ;なが.れる;s'écouler, courant, style
N3;浮;フ;う.く,う.かれる;flotter, faire surface, se réjouir, s'amuser
N4;海;カイ;うみ;mer, océan
N3;消;ショウ;き.える,け.す;éteindre, effacer
N3;深;シン;ふか.い;profond, intense, approfondir
N3;済;サイ,セイ;す.む,す.まない;finir, achever
N3;渡;ト;わた.る;traverser, transiter, livrer, importer
N3;港;コウ;みなと;port
N3;満;マン,バン;み.ちる;remplir, combler, satisfaire
N3;演;エン -;;représentation sur une scène, numéro (spectacle)
N4;漢;カン -;;Chine des Hans (ethnie majoritaire en Chine)
N5;火;カ;ひ;feu
N3;点;テン;つ.ける,た.てる;point, note, allumer
N3;然;ゼン,ネン;しか,しか.り;état naturel, suffixe adverbial
N3;煙;エン;けむ.る,けむり;fumée
N3;熱;ネツ;あつ.い;chaleur, fièvre, température, passion
N5;父;フ;ちち;père, papa
N4;牛;ギュウ;うし;vache
N4;物;ブツ,モツ;もの;objet, chose concrète
N4;特;トク -;;spécial
N3;犯;ハン,ボン;おか.す;crime, délit, enfreindre la loi
N3;状;ジョウ -;;circonstance, état des choses
N3;猫;ビョウ;ねこ;chat
N3;王;オウ -;;roi
N3;現;ゲン;あらわ .れる,うつ.つ;existant, actuel, devenir visible, montrer
N3;球;キュウ;たま;sphère, boule, globe
N4;理;リ;ことわり;raison, principe, logique
N5;生;セイ,ショウ;い.きる,う.まれる,な ま;vivre, naître, cru, authentique
N4;産;サン;う.む,う.まれる;production, naissance, donner naissance
N4;用;ヨウ;もち.いる;emploi, usage, utiliser
N4;田;デン;た;rizière
N3;由;ユウ,ユ;よし;moyen, cause, raison
N3;申;シン;もう.す;s'appeler, dire (de manière polie)
N5;男;ダン,ナン;おとこ;homme, mâle
N4;町;チョウ;まち;village, quartier
N4;画;ガ,カク;えが.く,かく.する,か ぎ.る;image, dessin, peinture, compteur de traits de kanjis
N4;界;カイ -;;monde, frontière
N3;留;リュウ,ル;と.める,とど.める;attacher, retenir, rester
N3;番;バン;つが.い;numéro, ordre
N3;疑;ギ;うたが .う;méfiance, suspecter, douter
N3;疲;ヒ;つか.れる;être fatigué, épuisé
N4;病;ビョウ;や.む,やまい;maladie, malade
N3;痛;ツウ;いた.い,いた.む;douloureux, douleur, avoir mal
N4;発;ハツ,ホツ;た.つ,あば.く;départ, émettre
N3;登;トウ,ト;のぼ.る;grimper, escalader, monter
N5;白;ハク;しろ.い;blanc
N5;百;ヒャク,ビャク;もも;cent
N3;皆;カイ;みな,みんな;tout, tous
N3;盗;トウ;ぬす.む;voler, dérober
N5;目;モク,ボク;め œ;il, numérateur ordinal
N3;直;チョク,ジキ;なお.す,なお.る,す.ぐ;honnête, être guéri/réparé, réparer/guérir
N4;県;ケン;か.ける;département, préfecture
N4;真;シン;ま,まこと;vérité, exact, réalité
N3;眠;ミン;ねむ.る;dormir, sommeil
N4;着;チャク;き.る,つ.く;s'habiller, arriver
N4;知;チ;し.る,し.らせる;savoir, connaître
N4;短;タン;みじか .い;court, bref
N3;石;セキ,シャク,コク;いし;pierre, roc
N4;研;ケン;と.ぐ;polir, aiguiser, étudier
N3;破;ハ;やぶ.る,やぶ.れる;être déchiré, déchiré, défaire
N3;確;カク,コウ;たし.か,たし.かめる;certitude, évident, s'assurer de, vérifier
N3;示;ジ,シ;しめ.す;montrer, signaler, indiquer, révéler
N3;礼;レイ -;;politesse, remerciement
N5;社;シャ;やしろ;entreprise, société, temple shinto
N3;祖;ソ -;;ancêtre, aïeul, fondateur
N3;神;シン,ジン;かみ;divinité, dieu, esprit, kami
N3;福;フク -;;chance, bonheur, félicité
N4;私;シ;わたくし,わたし;je, moi, privé
N4;秋;シュウ;あき,とき;automne
N3;科;カ -;;département, section, science
N3;程;テイ;ほど;degré, ampleur, limite, quantité
N3;種;シュ;たね;graine, semence, sorte
N3;積;セキ;つ.む,つ.もり;intention, accumuler, entasser
N4;究;キュウ;きわ.める;recherche, étudier
N5;空;クウ;そら,あ.く,す.く;ciel, creux, vide
N3;突;トツ;つ.く;poignarder, enfoncer, percer, irruption
N3;窓;ソウ,ス;まど;fenêtre
N5;立;リツ;た.つ;être debout, établir
N3;笑;ショウ;わら.う;rire, sourire
N3;等;トウ;ひと.しい,など;classe, degré, égal à, etc
N4;答;トウ;こた.える,こた.え;solution, réponse, répondre
N3;箱;ソウ;はこ;boîte, coffre
N3;米;ベイ,マイ;こめ;grain de riz, Amérique
N3;約;ヤク;つづ.まる,つづ.める;promesse, approximation, environ
N4;紙;シ;かみ;papier
N4;終;シュウ;お.わる;お.える finir, fin
N3;組;ソ;く.む,くみ;construire, association, groupe, classe
N3;経;ケイ,キョウ;へ.る,た.つ;expérience, longitude, sûtra
N3;給;キュウ;たま.う,たも.う;salaire, allocation, subvention
N3;絵;カイ,エ -;;image, peinture, esquisse
N3;絶;ゼツ;た.える;désespoir, cesser, interrompre
N3;続;ゾク,ショク;つづ.く,つづ.ける;continuer
N3;緒;ショ,チョ;お,いとぐち;lanière, lacet, origine, début, bout
N3;罪;ザイ;つみ;crime, péché, culpabilité
N3;置;チ;お.く;placer, poser, déposer
N3;美;ビ,ミ;うつく .しい;beauté, belle
N4;習;シュウ;なら.う;apprendre, coutume
N3;老;ロウ;お.いる,ふ.ける;vieillard, personne âgée
N4;考;コウ;かんが .える;réfléchir, considérer
N4;者;シャ;もの;personne (quelqu'un)
N5;耳;ジ;みみ;oreille
N5;聞;ブン,モン;き.く,き.こえる;entendre, écouter, demander
N3;職;ショク,ソク -;;emploi, métier, travail
N4;肉;ニク;しし;viande, chair
N3;育;イク;そだ.てる,そだ.つ;élever, grandir
N3;背;ハイ;せ,せい,そむ.く;dos, arrière, taille (stature), rébellion, désobéir
N3;能;ノウ;よ.く;capacité, talent, habile, théâtre Nô
N3;腹;フク;はら;ventre, abdomen
N4;自;ジ,シ;みずか .ら;soi-même
N3;舞;ブ;ま.う;danser, tournoyer, voltiger, cercle
N3;船;セン;ふね;navire, bateau
N3;良;リョウ;よ.い,い.い;satisfaisant, bien, bon, plaisant
N4;色;ショク,シキ;いろ;couleur
N5;花;カ;はな;fleur
N3;若;ジャク,ニャク,ニャ;わか.い,も.しくわ,も. し;jeune, immature, si, ou bien
N4;英;エイ;はなぶさ;brillant, talentueux, Angleterre, anglais
N4;茶;チャ -;;thé
N3;草;ソウ;くさ;herbe, végétation, plante
N4;菜;サイ;な;légume
N3;落;ラク;お.ちる,お.とす;tomber, chuter, faire tomber, perdre (un objet)
N3;葉;ヨウ;は;feuille (végétal)
N4;薬;ヤク;くすり;médicament
N5;行;コウ,ギョウ;い.く,ゆ.く,おこ.なう;aller, voyage
N3;術;ジュツ;すべ;technique, moyens, art
N3;表;ヒョウ;あらわ .す;surface apparente, paraître, montrer
N5;西;セイ;にし;Ouest
N3;要;ヨウ;い.る;besoin, nécessité, avoir de de
N5;見;ケン;み.る,み.える,み.せる;regarder, voir
N3;規;キ -;;norme, standard, règle
N3;覚;カク;おぼ.える,さ.ます,さ. める,さと.る;se rappeler de, mémoriser, réveil
N4;親;シン;おや,した.しい,した. しむ;parents, familié, se familiariser avec
N3;観;カン;み.る;voir, vue, aspect, apparence
N3;解;カイ,ゲ;と.く,ほど.く;comprendre, résoudre, explication
N5;言;ゲン,ゴン;い.う;dire, parler
N4;計;ケイ;はか.る,はか.らう;mesurer, peser, penser à, traiter, gérer
N3;記;キ;しる.す;récit, narration, narrer, raconter
N3;訪;ホウ;たず.ねる;rendre visite
N3;許;キョ;ゆる.す,もと;pardonner, permettre, autoriser
N4;試;シ;こころ .みる,ため.す;essayer, tenter, essai, tentative
N5;話;ワ;はな.す,はなし;parler, histoire
N3;認;ニン;みと.める;reconnaître, approuver, admettre
N5;語;ゴ;かた.る,かた.らう;langage, mot, raconter
N4;説;セツ,ゼイ;と.く;convaincre, persuader, opinion, rumeur
N5;読;ドク,トク;よ.む;lire
N3;調;チョウ;しら.べる;harmonie, rassembler des informations, enquêter
N3;談;ダン -;;propos, conversation, discuter
N3;識;シキ;しる.す;connaissance, discernement
N3;警;ケイ;いまし .める;faire des reproches, avertir, mettre en garde
N3;議;ギ -;;entretien, délibération, débat
N3;負;フ;ま.ける;défaite, perdre, devoir à quelqu'un
N3;財;ザイ,サイ;たから;argent, fortune
N3;貧;ヒン,ビン;まず.しい;pauvre, pauvreté
N3;責;セキ;せ.める;blâmer, réprimander
N5;買;バイ;か.う;acheter
N4;貸;タイ;か.す;prêter, louer
N3;費;ヒ;つい.やす,つい.える;dépenser, être dépensé, coût
N3;資;シ -;;ressource, capital monétaire, fonds
