level;char;on;kun;meaning
N1;仰;ギョウ,コウ;あお.ぐ,お.っしゃる;dire, raconter (hum), dépendre, respecter, prendre (de la nourriture)
N1;企;キ;くわだ .てる,たくら .む;entreprendre, projet, concept, plan
N1;伎;ギ,キ;わざ;technique, art poser (un tuyau)
N1;伐;バツ;き.る,う.つ;abattre (un arbre), couper, attaquer, frapper
N1;伯;ハク -;;chef, comte, oncle, Brésil
N1;伴;ハン;ともな .う;accompagner, amener avec soi, conjoint, compagnon
N1;但;タン;ただ.し;pourtant, mais
N1;佐;サ -;;aide, assistance
N1;佳;カ -;;excellent, bon, bien, habile
N1;併;ヘイ;あわ.せる;relier, joindre, unir, simultané
N1;侍;ジ,シ;さむらい,はべ.る;samuraï, serviteur, servir
N1;侮;ブ;あなど .る;mépriser, traiter de haut, dédain, outrage
N1;侯;コウ -;;seigneur, daimyo
N1;侵;シン;おか.す;intrusion, invasion, entrer sans permission
N1;俊;シュン -;;perspicace, sage, génie, excellent
N1;俗;ゾク -;;vulgaire, coutume, manières
N1;俳;ハイ -;;haïku, acteur
N1;俵;ヒョウ;たわら;sac, ballot, sac de paille
N1;俸;ホウ -;;salaire, revenue
N1;倉;ソウ;くら;entrepôt, magasi n, dépôt
N1;倣;ホウ;なら.う;copier, imiter
N1;倫;リン -;;éthique, morale
N1;倹;ケン;つま.しい,つづまやか;économe, frugal
N1;偏;ヘン;かたよ .る;partial, biaisé, radical gauche d'un kanji
N1;偵;テイ -;;espionnage
N1;偽;ギ,カ;いつわ .る,にせ;mensonge, mentir, contrefaçon
N1;傍;ボウ;かたわ .ら,そば;à côté de, à proximité, spectateur, observateur, pendant que
N1;傑;ケツ;すぐ.れる;grandeur, excellence (une personne)
N1;傘;サン;かさ;parapluie
N1;催;サイ;もよう .す;sponsor, tenir (une réunion), prendre en charge
N1;傷;ショウ;きず,いた.む;blessure, entaille, douleur, avoir mal
N1;僕;ボク;しもべ;je (masculin), moi, mon, serviteur
N1;僚;リョウ -;;collègue, employé, compagnon
N1;僧;ソウ -;;prêtre bouddhiste, moine
N1;儀;ギ -;;cérémonie, rite, manières
N1;儒;ジュ -;;confucéen
N1;償;ショウ;つぐな .う;indemnisation, compensation
N1;充;ジュウ;あ.てる,み.たす;allouer, attribuer, remplir
N1;克;コク;か.つ;surmonter, gentil, bienveillant, adroitement
N1;免;メン;まぬか .れる,まぬが .れ る;excuse, licenciement
N1;典;テン,デン -;;cérémonie, code, règle
N1;冒;ボウ;おか.す;affronter, défier, faire face à, risquer
N1;冗;ジョウ -;;superflu, inutile
N1;冠;カン;かんむり;couronne, inégalable
N1;冶;ヤ;じ -;fusion, fonte
N1;准;ジュン -;;quasi -, semi -, associé
N1;凝;ギョウ;こ.らす,こご.らす;congeler, glacer, raide, être absorbé par
N1;凡;ボン;およ.そ,すべ.て;médiocre, banal, quelconque
N1;凶;キョウ -;;méchant, mal, malchance, désastre
N1;凸;トツ;でこ;convexe, inégal (en parlant d'une surface)
N1;凹;オウ;くぼ.む,へこ.む,ぼこ;concave, creux
N1;刀;トウ;かたな,そり;sabre, épée
N1;刃;ジン,ニン;は,やいば,き.る;lame, épée, tranchant d'une lame
N1;刈;ガイ,カイ;か.る;moissonner, tailler, couper
N1;刑;ケイ -;;châtiment, punition, sanction
N1;削;サク;けず.る,はつ.る,そ.ぐ;tailler, réduire, affûter, supprimer
N1;剖;ボウ -;;dissection, vivisection
N1;剛;ゴウ -;;ferme, robuste, fort
N1;剣;ケン;つるぎ;sabre, épée, aiguille d'une montre
N1;剤;ザイ,スイ,セイ;かる,けず.る;médicament, drogue, produit pour ~
N1;剰;ジョウ;あま.る;surplus, en plus
N1;創;ソウ,ショウ;つく.る,はじ.める;fondation, genèse
N1;功;コウ,ク;いさお;réussite, succès, effort
N1;务;レツ;おと.る;être inférieur à, être pire que
N1;励;レイ;はげ.む;encourager, pousser à, s'efforcer de
N1;劾;ガイ -;;censure, enquête criminelle
N1;勅;チョク;みことのり;décret impérial
N1;勧;カン,ケン;すす.める;persuader, recommander, conseiller, encourager
N1;勲;クン;いさお;action méritoire, mérite
N1;勺;シャク -;;louche, écumoir, unité de mesure (shaku=18ml)
N1;匁;;もんめ;unité de poids (monme = 3,75 g)
N1;匠;ショウ;たくみ;artisan, ouvrier
N1;匿;トク;かくま .う;cacher, dissimuler
N1;升;ショウ;ます;boîte, unité de volume (masu=1,8L)
N1;卑;ヒ;いや.しい;modeste, humble, ignoble, lâche, méprisable
N1;卓;タク -;;table, supérieur, éminent
N1;博;ハク,バク -;;Docteur (titulaire du doctorat), nombreux, exposition
N1;即;ソク;つ.く,すなわ .ち;se conformer à, être adapté à, instantané, immédiatement
N1;却;キャク;かえ.って,しりぞ .く;à l'inverse, au contraire, plutôt
N1;卸;シャ;おろ.す,おろし;vente en gros
N1;厄;ヤク -;;désastre, malchance
N1;厘;リン -;;un petit peu, unité de longueur (rin = 0,3 mm), unité monétaire (rin = 0,001 yen)
N1;厳;ゲン,ゴン;きび.しい,おごそ .か;strict, sévère
N1;又;ユウ;また;de nouveau, encore, ou bien, de plus
N1;及;キュウ;およ.ぶ;allonger le bras, s'étendre, aller jusqu'à
N1;叔;シュク -;;oncle, tante
N1;变;ジョ;つい.ず,ついで;conférer, raconter, décrire
N1;句;ク -;;phrase, compteur de haïku, paragraphe
N1;吉;キチ,キツ;よし;bonne chance, joie, félicitations
N1;后;コウ,ゴ;きさき;impératrice, reine
N1;吏;リ -;;fonctionnaire, employé
N1;吐;ト;は.く,つ.く;cracher, vomir, mentir, avouer
N1;吟;ギン -;;réciter, chanter, versifier
N1;呂;ロ,リョ -;;colonne vertébrale, épine dorsale
N1;呈;テイ -;;afficher, offrir, présenter
N1;呉;ゴ;く.れる;faire quelque chose pour moi
N1;哀;アイ;あわ.れ,かな.しい;pitié, compassion, compatir
N1;哲;テツ;さとし,さとる;philosophie, sagesse
N1;唄;バイ;うた,うた.う;chanson avec un shamisen (instrument à cordes)
N1;唇;シン;くちびる;lèvres
N1;唐;トウ;から;dynastie Tang, Chine
N1;唯;ユイ,イ;ただ;seulement, simplement, unique
N1;唱;ショウ;とな.える;chanter, réciter
N1;啓;ケイ;ひら.く,さと.す;divulguer, ouvrir, dire
N1;喉;コウ;のど;gorge, voix
N1;喚;カン;わめ.く;hurler, crier
N1;喝;カツ -;;rauque, gronder
N1;喪;ソウ;も;deuil, perte
N1;嗣;シ -;;héritier, succéder à
N1;嘆;タン;なげ.く;se lamenter, gémir, chagrin, peine
N1;嘱;ショク;しょく .する,たの.む;confier, demander
N1;噴;フン;ふ.く;émettre, jailler, éruption
N1;嚇;カク;おど.かす;menaçant, intimidant, dignité, majesté
N1;囚;シュウ;とら.われる;criminel, prisonnier, arrêter, attraper
N1;圏;ケン;かこ.い;sphère, cercle, rayon
N1;坑;コウ -;;mine, carrière, fosse, trou
N1;坪;ヘイ;つぼ;unité de surface (tsubo = 3,306 m² = 2 tatamis)
N1;垂;スイ;た.れる;suspendre, pendre
N1;垣;エン;かき;haie, clôture, mur
N1;執;シツ,シュウ;と.る;tenace, s'emparer de, saisir
N1;培;バイ;つちか .う;culture agricole, cultiver
N1;堀;クツ;ほり;fossé, douve, tranchée
N1;堅;ケン;かた.い;dur, solide ,tendu, ferme
N1;堕;ダ;お.ちる,くず.す;dégénérer, sombrer
N1;堤;テイ;つつみ;digue, berge
N1;堪;カン,タン;た.える,たま.る,こ.ら える,こた.える;résister, endurer, supporter
N1;塀;ヘイ -;;barrière, mur
N1;塁;ルイ;とりで;base (au base -ball), forteresse, rempart
N1;塊;カイ,ケ;かたまり,つちくれ;morceau, motte, masse
N1;塑;ソ;でく;modèle, moulure, plastique
N1;塚;チョウ;つか;butte de terre, tombe, tertre
N1;塾;ジュク -;;cours particulier, école privée
N1;墓;ボ;はか;tombe, tombeau
N1;墜;ツイ;お.ちる;tomber, s'écraser
N1;墨;ボク;すみ;encre de Chine, encre noire, pierre d'encre
N1;墳;フン -;;tombeau, tumulus
N1;墾;コン -;;défrichage
N1;壇;ダン,タン -;;estrade, tribune, gradins
N1;壊;カイ,エ;こわ.す,こわ.れる,や ぶ.る;casser, être cassé, détruire
N1;壌;ジョウ;つち;parcelle de terrain, sol
N1;士;シ -;;samuraï, guerrier
N1;壮;ソウ;さかん;prospérité, robuste, grandiose
N1;壱;イチ,イツ;ひとつ;un, 1
N1;奈;ナ;いかん;Nara, comment ?, que ?
N1;奉;ホウ,ブ;たてまつ .る,まつ.る,ほう.ずる;obéir, suivre, dédier, consacrer, vouer, offrance
N1;奏;ソウ;かな.でる;jouer d'un instrument de musique, concert
N1;契;ケイ;ちぎ.る;promesse, serment
N1;奔;ホン;はし.る;courir, s'agiter, s'affairer
N1;奨;ショウ,ソウ;すす.める;encourager, conseiller vivement
N1;奪;ダツ;うば.う;dérober, s'approprier, s'emparer
N1;奮;フン;ふる.う;excitation, stimulation, déployer son énergie
N1;奴;ド;やつ,やっこ;mec, type, esclave
N1;如;ジョ,ニョ;ごと.し;ressemblant, similaire, comme si, comme, le même que
N1;妃;ヒ;きさき;reine, princesse
N1;妄;モウ,ボウ;みだ.りに;illusion, imprudence, sans autorisation
N1;妅;ニン;はら.む,みごも .る;tomber enceinte, grossesse
N1;妙;ミョウ;たえ;délicat, subtil, étrange, bizarre, adroit, excellent
N1;妥;ダ -;;doux, calme, tranquille, approprié
N1;妨;ボウ;さまた .げる;déranger, empêcher, obstruer, entraver
N1;姫;キ;ひめ;princesse
N1;姻;イン -;;conjugal, mariage
N1;姿;シ;すがた;silhouette, apparence, forme
N1;威;イ;おど.す;intimidant, puissance, menacer
N1;娯;ゴ -;;loisir, distraction, divertissement
N1;婆;バ;ばば,ばあ;vieille femme, grand -mère
N1;婿;セイ;むこ;fiancé, marié, gendre
N1;媒;バイ -;;intermédiaire, médiateur
N1;媛;エン;ひめ;belle femme, princesse
N1;嫁;カ;よめ,とつ.ぐ,い.く;entrer dans une famille, mariage, mariée
N1;嫌;ケン,ゲン;きら.い,いや;détester, haïr
N1;嫡;チャク,テキ -;;légitime (enfant, femme)
N1;嬢;ジョウ;むすめ;jeune fille, mademoiselle
N1;孔;コウ;あな;cavité, trou, fente
N1;孝;コウ,キョウ -;;piété filiale, respect des anciens
N1;孤;コ -;;orphelin, seul
N1;宗;シュウ,ソウ;むね;religion, confession religieuse, secte
N1;宜;ギ;よろ.しい;convenable, bon, bien
N1;宠;セン;のたま .う;proclamer, annoncer
N1;宮;キュウ,グウ;みや;palais, sanctuaire shinto
N1;宰;サイ -;;diriger, superviser, Premier Ministre, directeur
N1;宴;エン;うたげ;banquet, fête
N1;宵;ショウ;よい;en pleine nuit, soirée, heures tardives
N1;寂;ジャク,セキ;さび.しい,さみ.しい;solitude, seul, tranquillité
N1;密;ミツ;ひそ.か;secret, densité de population, minutieux
N1;寛;カン;くつろ .ぐ,ひろ.い;tolérant, indulgent générosité, être à l'aise
N1;寡;カ -;;très peu, minorité, veuve
N1;寧;ネイ;むし.ろ;plutôt, assez, de préférence
N1;審;シン;つまび .らか,つぶさ .に;procès, jugement, audience (devant la cour)
N1;寮;リョウ -;;dortoir, foyer, pavillon
N1;寸;スン -;;dimension, mesure, unité de longueur (3,03 cm)
N1;寿;ジュ,ス,シュウ;ことぶき,ことぶ .く;longévité, félicitation
N1;射;シャ;い.る;tirer une flèche
N1;尉;イ,ジョウ -;;officier, geôlier, rang
N1;尋;ジン;たず.ねる;demander, interroger, rechercher
N1;尚;ショウ;なお;de plus, davantage, respecter, vénérer
N1;就;シュウ,ジュ;つ.く,つ.ける;prendre place, s'installer, prendre un poste, concernant
N1;尺;シャク -;;mesure, unité de longueur (30,303 cm)
N1;尼;ニ;あま;religieuse, nonne
N1;尽;ジン,サン;つ.くす,ことごと .く,つか;épuiser, consommer, arriver au bout, entièrement
N1;尾;ビ;お;queue, bout
N1;尿;ニョウ -;;urine
N1;屈;クツ;かが.む;céder, se courber, soumettre
N1;属;ゾク,ショク;さかん,つく,やから;faire partie de, affilié à
N1;履;リ;は.く;chausser, chaussures, expérience
N1;屯;トン -;;caserne, poste de police, garnison
N1;岐;キ,ギ -;;bifurcation, embranchement
N1;岬;コウ;みさき;cap, pointe, promontoire
N1;岳;ガク;たけ;montagne, pic
N1;峠;;とうげ;sommet d'une montagne, crête
N1;峡;キョウ,コウ;はざま;gorge, ravin, vallée étroite
N1;峰;ホウ;みね;pic, sommet, pointe (d'une montagne)
N1;崇;スウ;あが.める;respecter, vénérer, honorer, adorer
N1;崩;ホウ;くず.れる;s'effondrer, se désagréger, s'écrouler
N1;嵐;ラン;あらし;tempête
N1;巡;ジュン;めぐ.る,めぐ.り;tourner autour, faire le tour, patrouiller
N1;巣;ソウ;す;nid, tanière, antre, ruche, toile (d'araignée)
N1;巧;コウ;たく.み,うま.い;habile, adroit, doué
N1;己;コ,キ;おのれ;soi-même, soi
N1;帄;ハン;ほ;voile
N1;帝;テイ;みかど;Empereur, souverain, Mikado
N1;帥;スイ -;;commandant des troupes, gouverneur
N1;帳;チョウ;とばり;cahier, livre de compte, registre
N1;幕;マク,バク;とばり;rideau de scène, acte théâtrale
N1;幣;ヘイ;ぬさ;espèce (argent), offrande shinto, don, mauvaise habitude
N1;幹;カン;みき;tronc d'arbre, partie principale
N1;幻;ゲン;まぼろし;vision, illusion, apparition
N1;幽;ユウ;かす.か;obscur, isolé, profond, reclus, calme
N1;序;ジョ;つい.で,ついで;ordre, priorité, séquence
N1;庶;ショ -;;peuple, roturier, tout, bâtard
N1;庸;ヨウ -;;banal, commun, ordinaire, travail
N1;廃;ハイ;すた.れる;abolition, abrogation, devenir obsolète, abandonner
N1;廉;レン;かど;bonne affaire, bon marché, honnête, intègre, méfiance
N1;廊;ロウ -;;couloir, gallerie
N1;廷;テイ -;;tribunal, cour de justice, cour impériale
N1;弁;ベン,ヘン;わきま .える,わ.ける;dialecte, éloquence, discernement
N1;弊;ヘイ -;;mal, abus, méfait, vice
N1;弐;ニ,ジ;ふた.つ;deux, second
N1;弓;キュウ;ゆみ;arc
N1;弔;チョウ;とむら .う,とぶら .う;condoléances, deuil, funérailles
N1;弥;ミ,ビ;いや,や;de plus en plus, d'autant plus
N1;弦;ゲン;つる;corde d'arc, corde
N1;弧;コ -;;arc, arche
N1;弾;ダン,タン;はず.む;boulet, rebond, claquement
N1;彩;サイ;いろど .る;colorer, peindre, maquiller
N1;彫;チョウ;ほ.る;graver, sculpter, ciseler
N1;彰;ショウ -;;évident, manifeste, clair
N1;影;エイ;かげ;ombre portée, silouhette
N1;往;オウ;い.く,ゆ.く;aller, venir, voyage
N1;征;セイ -;;asservir, conquête, campagne militaire
N1;径;ケイ;みち,こみち;diamètre, chemin, méthode
N1;徐;ジョ;おもむ .ろに;petit à petit, doucement, posément
N1;従;ジュウ;したが .う;se conformer à, obéir à, être accompagné de, subjuguer
N1;循;ジュン -;;consécutif, séquentiel, cycle
N1;微;ビ;かす.か;délicat, subtil, insignifiant, léger, à peine visible
N1;徳;トク -;;vertu, bonté, morale impôt, d'une taxe)
N1;徹;テツ -;;toute la nuit, nuit blanche, lucide, pénétrer
N1;忌;キ;い.む;deuil, anniversaire du décès, répugnant
N1;忍;ニン;しの.ぶ;endurer, supporter, espion, entrer furtivement
N1;忠;チュウ -;;loyauté, fidélité
N1;怠;タイ;おこた .る,なま.ける;négliger, paresse, fainéantise
N1;怪;カイ,ケ;あや.しい,あや.しむ;méfiant, se méfier de, mystère, apparition
N1;恒;コウ;つね;permanent, constant
N1;恨;コン;うら.む,うら.めしい;regret, ressentiment, rancœur, haine
N1;恩;オン -;;gentillesse, bonté, bienfait
N1;恭;キョウ;うやうや .しい;respectueux
N1;悔;カイ;く.いる,く.やむ;regret, repentir
N1;悟;ゴ;さと.る;éclaircissement, percevoir, discerner, comprendre
N1;悦;エツ;よろこ .ぶ;extase, joie
N1;悼;トウ;いた.む;deuil, commémoration funèbre, avoir de la peine, déplorer
N1;惑;ワク;まど.う;charmer, séduire, égarement, confusion, perplexité
N1;惜;セキ;お.しい,お.しむ;déplorable, regrettable, économiser, épargner
N1;惨;サン,ザン;みじ.め,いた.む,むご.い;infortuné, affreux, misérable
N1;惰;ダ -;;paresse
N1;愁;シュウ;うれ.える;désarroi, souffrance, tristesse, être anxieux
N1;愉;ユ;たの.しむ;apprécier, prendre plaisir à, agréable, joyeux
N1;愚;グ;おろ.か;stupide, absurbe, idiot, bête
N1;慈;ジ;いつく .しむ;clémence, miséricorde
N1;態;タイ;わざ.と;apparence, état, condition
N1;慌;コウ;あわ.ただしい;déconcerté, confus
N1;慎;シン;つつし .む;humilité, discrétion, prudent, être précautionneux
N1;慕;ボ;した.う;désir ardent, envie, amour
N1;慢;マン -;;ridicule, paresseux, prétentieux
N1;慨;ガイ -;;regret, triste, soupir, lamentation
N1;慮;リョ;おもんぱか .る;considérer, prudence, sollicitation, idée, pensée, peur
N1;慰;イ;なぐさ .める;réconforter, consoler
N1;慶;ケイ;よろこ .び;se réjouir de, jubiler, féliciter
N1;憂;ユウ;うれ.える,う.い;tristesse, chagrin, mélancolie, anxieux
N1;憤;フン;いきどお .る;indignation, colère, rancune
N1;憧;ショウ,ドウ;あこが .れる;aspiration, désir, attentes, admirer
N1;憩;ケイ;いこ.う;vacances, pause, se reposer
N1;憲;ケン -;;constitution, loi
N1;憶;オク -;;souvenir, mémoire
N1;憾;カン;うら.む;remords, regrets, être désolé
N1;懇;コン;ねんご .ろ;sociable, gentil, courtois
N1;懐;カイ,エ;ふところ,なつ.かしい,いだ.く,おも.う;poche, sentiments, nostalgie, s'attacher à, poitrine
N1;懲;チョウ;こ.りる;punir, corriger, châtiment, apprendre par l'expérience, tirer des leçons
N1;懸;ケン,ケ;か.ける;suspendre, accrocher, dépendre de
N1;我;ガ;われ,わ;je, moi, égoïsme
N1;戒;カイ;いまし .める;châtiment, avertissement
N1;戯;ギ,ゲ;たわむ .れる,ざ.れる;batifoler, divertissement, jeu, sport
N1;房;ボウ;ふさ;chauffage, climatisation, grappe, frange, épouse, chambre
N1;扇;セン;おうぎ;éventail
N1;扉;ヒ;とびら;porte d'entrée, page de titre
N1;扱;ソウ,キュウ;あつか .い,あつか .う,こ.く;manœuvrer, prendre en main
N1;扶;フ;たす.ける;aider, assister
N1;抄;ショウ -;;extraire, sélectionner, résumé, copie paquets
N1;抑;ヨク;おさ.える;réprimer, retenir, saisir, presser
N1;抗;コウ;あらが .う;affronter, faire face à, s'opposer à, défier
N1;択;タク;えら.ぶ;choisir, sélectionner
N1;披;ヒ -;;exposer, révéler, ouvrir son cœur
N1;抵;テイ -;;résister, s'opposer
N1;抹;マツ -;;frotter, enduire, effacer
N1;抽;チュウ;ひき;cueillir, extraire, tirer
N1;拍;ハク,ヒョウ -;;applaudir, temps (mesure en musique), battement (du cœur)
N1;拐;カイ -;;kidnapper, falsifier
N1;拒;キョ,ゴ;こば.む;refuser, rejeter, décliner
N1;拓;タク;ひら.く;défricher, conquête d'un terrain
N1;拘;コウ;かか.わる;arrêter, saisir, être concerné, adhérer
N1;拙;セツ;つたな .い;incompétent, maladroit, bâclé
N1;拠;キョ,コ;よ.る;point d'appui, basé sur, suivre, par conséquent
N1;括;カツ;くく.る;attacher, lier, arrêter, comprimer
N1;拳;ケン,ゲン;こぶし;poing
N1;拷;ゴウ -;;torturer, tabasser
N1;挑;チョウ;いど.む;défier, provoquer, rivaliser
N1;挙;キョ;あ.げる,あ.がる;actions, citer, être cité, être arrêté さしはさ .む pincement, pincer, être coincé, être pris entre deux
N1;振;シン;ふ.る,ぶ.る;secouer, agiter, remuer
N1;挿;ソウ;さ.す;greffer, mettre dans, insérer
N1;据;キョ;す.える,す.わる;poser, installer, établir, s'asseoir
N1;掌;ショウ;てのひら,たなごころ;paume de la main, manipuler, gouverner
N1;排;ハイ -;;rejeter, désavouer, exclure
N1;控;コウ;ひか.える;retirer, renoncer à, retenir, se modérer
N1;推;スイ;お.す;présumer, supposer, deviner
N1;措;ソ;お.く;poser, mettre de côté, suspendre, abandonner
N1;掲;ケイ;かか.げる;publier, afficher, hisser (un drapeau), insertion
N1;描;ビョウ;えが.く,か.く;dessiner, écrire, peindre
N1;提;テイ,チョウ,ダイ;さ.げる;proposition, tenir en main
N1;揚;ヨウ;あ.げる;hisser (un drapeau, une voile, un objet lourd), frire
N1;握;アク;にぎ.る;s'agripper, tenir, pétrir (sushi)
N1;揮;キ;ふる.う;brandir, agiter
N1;援;エン -;;aide, assistance
N1;揺;ヨウ;ゆ.れる;secouer, frémir, osciller, vibrer
N1;搬;ハン -;;transporteur, convoyeur
N1;搭;トウ -;;embarquer, monter dans un véhicule apporter
N1;搾;サク;しぼ.る;presser, compresser
N1;摂;セツ;と.る;prendre (des vitamines, un repas…), ingérer, substitut, interposé
N1;摘;テキ;つ.む;prendre quelque chose avec ses doigts, cueillir, saisir
N1;摩;マ;ま.する,さ.する,す.る;gratter, frotter (pour soulager), caresser, polir
N1;撃;ゲキ;う.つ;attaquer, frapper, battre
N1;撤;テツ -;;enlever, retirer, abandonner, rejeter
N1;撮;サツ;と.る,つま.む;photographier
N1;撲;ボク -;;battre, frapper, donner un coup
N1;擁;ヨウ -;;posséder, protéger, prendre dans ses bras, étreindre
N1;擦;サツ;す.る,す.れる,こす.る;gratter, frotter, abraser
N1;擬;ギ;まが.い,もど.き;imitation, pointer une arme, nommer
N1;攻;コウ;せ.める;agression, attaque
N1;敏;ビン;さとい;ingéniosité, agile, vif d'esprit
N1;敢;カン;あ.えて;audacieux, triste, tragique, pitoyable
N1;敵;テキ;かたき,かな.う;adversaire, ennemi
N1;敶;フ;し.き,し.く;s'étendre, s'étaler, s'asseoir
N1;斉;セイ,サイ;ひと.しい;égal, semblable, même variété み, い.む, いわ.う, い つ.く purification, nourriture bouddhique, consacrer, avoir le culte de
N1;斗;ト -;;Grande Ourse, tonnelet de saké, unité de volume (1 to = 18,039 litres)
N1;斜;シャ;なな.め,はす;diagonale, en pente, oblique
N1;斤;キン -;;hache, unité de mesure (kin = environ 600g)
N1;斥;セキ;しりぞ .ける;repousser, rejeter
N1;施;シ,セ;ほどこ .す;aumône, donner, poser une bandage
N1;旋;セン -;;rotation, tournoiement
N1;旗;キ;はた;drapeau, étendard
N1;既;キ;すで.に;déjà, auparavant
N1;旦;タン,ダン;あきら;aube, aurore, matin
N1;旨;シ;むね,うま.い;délicieux, savoureux, adroit, expert, avoir un penchant pour
N1;旪;ジュン,シュン -;;décade, période de 10 jours
N1;昆;コン -;;insecte, descendant
N1;昭;ショウ -;;brillant, clair, lumineux
N1;晶;ショウ -;;cristal, étinceler, clair
N1;暁;ギョウ,キョウ;あかつき;aube, point du jour
N1;暇;カ;ひま,いとま;temps libre, repos, loisirs
N1;暦;レキ;こよみ;calendrier, almanach
N1;暫;ザン;しばら .く;un moment, temporaire
N1;曹;ソウ,ゾウ;つかさ;élève officier, cadet, sous -officier
N1;朕;チン -;;le nous impérial
N1;朗;ロウ;ほが.らか,あき.らか;brillant, serein, joyeux
N1;朱;シュ;あけ;vermillon, écarlate, rouge
N1;朴;ボク;ほお,えのき;honnête, simple, ingénu
N1;朽;キュウ;く.ちる;délabré, pourri
N1;杉;サン;すぎ;cèdre japonais
N1;松;ショウ;まつ;pin
N1;析;セキ -;;couper, diviser, déchirer, analyser
N1;枞;;わく;structure, cadre, bobine
N1;枢;スウ,シュ;くるる;pivot, axe, charnière
N1;架;カ;か.ける;ériger, monter, supporter (poids), étagère
N1;柄;ヘイ;がら,え,つか;caractère (d'une personne), motif, marque, manivelle, poignée
N1;某;ボウ;それがし,なにがし;untel, cette personne, un certain
N1;染;セン;そ.める;teindre, colorer, tâche, souillure
N1;柳;リュウ;やなぎ;saule
N1;栓;セン -;;bouchon, robinet
N1;株;シュ;かぶ;action boursière, souche d'un arbre, titre
N1;核;カク -;;noyau, nucléaire, cœur
N1;栽;サイ -;;plantation
N1;桃;トウ;もも;pêche (fruit)
N1;桑;ソウ;くわ;mûrier
N1;桜;オウ;さくら;cerisier
N1;桟;サン,セン;かけはし;échafaudage, traverse, pont, quai
N1;梅;バイ;うめ;prune, prunier
N1;梨;リ;なし;poire
N1;棄;キ;す.てる;jeter, se débarasser, renoncer
N1;棋;キ;ご;pièce d'échec, échec japonais, shôgi
N1;棚;ホウ;たな;étagère, rayon, support
N1;棟;トウ;むね;bâtiment, partie la plus haute d'un bâtiment
N1;棺;カン -;;cercueil
N1;椎;ツイ -;;vertèbre, marteau, maillet
N1;楼;ロウ -;;tour de guet, immeuble
N1;槽;ソウ;ふね;cuve, bac, réservoir
N1;模;モ,ボ -;;imitation, copie, maquette
N1;樹;ジュ;き;arbre, végétation
N1;欄;ラン -;;colonne dans un tableau ou dans un journal, champ (dans un formulaire), balustrade
N1;欺;ギ;あざむ .く;tromperie, tricherie, malhonnêteté
N1;款;カン -;;bonne volonté, article, section
N1;歓;カン;よろこ .ぶ;plaisir, joie, se ravir
N1;殉;ジュン -;;martyre, calvaire, se sacrifier
N1;殊;シュ;こと;en particulier, spécialement
N1;殖;ショク;ふ.える,ふ.やす;augmenter, croître, multiplier
N1;殴;オウ;なぐ.る;attaque, assaut, frapper, battre
N1;殻;カク,コク,バイ;から,がら;coquille, enveloppe (de grain)
N1;氏;シ;うじ;nom de famille, lignée, Monsieur
N1;汁;ジュウ;しる,つゆ;soupe, jus, bouillon
N1;江;コウ;え;baie, crique, anse
N1;汰;タ -;;sélection
N1;汽;キ -;;vapeur
N1;沖;チュウ;おき,おきつ,ちゅう .す る;haute mer, au large
N1;沙;サ,シャ;すな;sable
N1;没;ボツ,モツ;おぼ.れる,しず.む;sombrer, couler, mourir, disparaître
N1;沢;タク;さわ;marais, marécage, abondant
N1;沼;ショウ;ぬま;marécage, marais, étang
N1;沿;エン;そ.う;longer, border, être parallèle à
N1;泋;ヒ,ヒツ -;;suinter, s'écouler, sécréter
N1;泡;ホウ;あわ;bulle, mousse, écume
N1;泰;タイ -;;calme, paisible, Thaïlande
N1;洞;ドウ;ほら;grotte, caverne, antre
N1;津;シン;つ;port, refuge, havre
N1;洪;コウ -;;inondation, déluge
N1;派;ハ -;;faction, groupe, clan
N1;浄;ジョウ,セイ;きよ.める;nettoyer, purifier
N1;浜;ヒン;はま;rivage, plage
N1;浦;ホ;うら;baie, crique, golfe, rivage
N1;浪;ロウ -;;itinérant, vagabond, vague, flot
N1;浸;シン;ひた.す;plonger, immerger, mouillé, humide
N1;涯;ガイ;はて;horizon, rivage, côte
N1;涼;リョウ;すず.しい;frais, rafraîchissant
N1;淑;シュク;しと.やか;gracieux, pur
N1;淡;タン;あわ.い;mince, pâle, léger, dilué
N1;添;テン;そ.える,も.える;accompagner, annexer, ajouter, se marier, imiter
N1;渇;カツ;かわ.く;avoir soif, soif, sécheresse
N1;渉;ショウ;わた.る;gué, port, traverser
N1;渋;ジュウ,シュウ;しぶ.い,しぶ.る astringent,resserré,peu;enthousiaste, hésiter
N1;渓;ケイ;たに,たにがわ;torrent, ruisseau de montagne, vallée
N1;渚;ショ;なぎさ;bord de mer, plage, rivage
N1;渦;カ;うず;tourbillon, remous
N1;湧;ユウ;わ.く;faire bouillir, bouillir, jaillir
N1;源;ゲン;みなもと;source, origine, fondement
N1;溝;コウ;みぞ;gouttière, caniveau, égout, 10^32
N1;滋;ジ -;;noutrissant, luxuriant, de plus en plus
N1;滑;カツ,コツ;すべ.る,なめ.らか;glissant, glisser
N1;滝;ロウ,ソウ;たき;chute d'eau, cascade
N1;滞;タイ;とどこお .る;stagner, en retard, arriérés
N1;漂;ヒョウ;ただよ .う;dériver, flotter
N1;漆;シツ;うるし;vernis, laque
N1;漏;ロウ;も.る;fuite (d'eau, dans un toît, d'information), s'échapper (gaz)
